Level Name,Creator,Level ID,Creator User ID,Difficulty,Reward,,Rating,Song Name,Song Artist,Song ID,Extra Songs,Gamemode,Coins,Coins Status,Duration,Length,Description,Objects,Objects (LDM),LDM,Two Player,Game Version,Level Version,Password,Copied ID,Requested Reward,Editor Time,Editor Time (Copies),Editor Time (+Copies),Upload Date,Update Date
Best automatic Lvl,Matty,2655,28,Auto,1⭐,1,✔ Normal,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:04.46,🕒 Long,level updated! enjoy!,"3,698",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-17 19:51:03,2013-09-17 19:51:03
smooth jumper,darnoc2,2935,1732,Hard,5⭐,5,✨ Featured,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:13.51,🕒 Long,An easy level for people new ti the game or someone looking for a quick fix,"1,847",N/A,❌ No,❌ No,Pre-1.7,6,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-19 20:36:31,2013-09-19 20:36:31
auto play area,Jax,3150,1620,Auto,1⭐,1,✨ Featured,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:20.46,🕒 Long,The secend map by Jax 8137,"2,322",N/A,❌ No,❌ No,1.7,1,8137,N/A,N/A,N/A,N/A,N/A,2013-09-21 10:40:17,2014-07-26 00:28:33
Breeze,darnoc2,3294,1732,Hard,5⭐,5,✨ Featured,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:01:11.49,🕒 Long,A semi easy level that will have you playing for hours!,"1,115",N/A,❌ No,❌ No,Pre-1.7,3,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-22 20:51:40,2013-09-22 20:51:40
real auto,jacky,3712,1021,Auto,1⭐,1,✔ Normal,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:15.15,🕒 Long,dont press any thing,"3,555",N/A,❌ No,❌ No,2.1,7,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-26 23:24:58,2021-06-03 00:14:49
1,Cody,3785,2565,Hard,5⭐,5,✨ Featured,Polargeist,Step,Level 3,,⭐ Classic,,N/A,0:01:29.78,🕒 Long,C,"2,128",N/A,❌ No,❌ No,Pre-1.7,4,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-27 12:01:18,2013-09-27 12:01:18
Timing,Jax,3883,1620,Harder,6⭐,6,✔ Normal,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:36.24,🕒 Long,The third map by Jax.,"1,980",N/A,❌ No,❌ No,Pre-1.7,5,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-28 01:18:58,2013-09-28 01:18:58
Auto two,Player,4153,2540,Auto,1⭐,1,✔ Normal,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:01.57,🕒 Long,Push Like,"1,116",N/A,❌ No,❌ No,2.2,5,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-29 04:59:16,2024-08-17 15:16:06
crystal cave,hitman bdb,4213,2876,Normal,3⭐,3,✨ Featured,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:00:42.51,🕒 Medium,,"2,028",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-29 08:00:04,2013-09-29 08:00:04
2,Cody,4229,2565,Harder,6⭐,6,✨ Featured,Cant Let Go,DJVI,Level 6,,⭐ Classic,,N/A,0:01:20.51,🕒 Long,C,"1,800",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-09-29 09:06:08,2013-09-29 09:06:08
red yahooey,darnoc2,4539,1732,Harder,7⭐,7,✨ Featured,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:35.85,🕒 Long,i will have a replay vid once everyplay is released!  level is completely finished to the end of the,"2,516",N/A,❌ No,❌ No,Pre-1.7,3,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-01 12:58:10,2013-10-01 12:58:10
reach for the skies,darnoc2,5258,1732,Harder,6⭐,6,✨ Featured,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:07.74,🕒 Long,A insanely hard level! ,"2,316",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-05 03:31:11,2013-10-05 03:31:11
3,Cody,5291,2565,Harder,6⭐,6,✨ Featured,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:21.60,🕒 Long,C,"1,719",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-05 06:41:24,2013-10-05 06:41:24
Level A,Jax,5385,1620,Normal,3⭐,3,✔ Normal,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:01:23.62,🕒 Long,Made by Jax.,"1,618",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-05 12:15:38,2013-10-05 12:15:38
free,proe,5468,3659,Auto,1⭐,1,✔ Normal,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:25.45,🕒 Long,xD,"1,649",N/A,❌ No,❌ No,Pre-1.7,12,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-05 20:04:30,2013-10-05 20:04:30
sterio madness v2,ferflappender,5639,505,Hard,4⭐,4,✨ Featured,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:24.20,🕒 Long,upated enjoy,"1,951",N/A,❌ No,❌ No,Pre-1.7,4,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-06 09:13:16,2013-10-06 09:13:16
bouncer,darnoc2,5773,1732,Harder,6⭐,6,✨ Featured,Polargeist,Step,Level 3,,⭐ Classic,,N/A,0:01:30.27,🕒 Long,"Semi Easy, very intuitive and full of bounces!","2,223",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-06 19:57:45,2013-10-06 19:57:45
Mystic portar,Partition,6427,1187,Harder,7⭐,7,✔ Normal,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:33.44,🕒 Long,re updated to first oldest ver,"3,607",N/A,❌ No,❌ No,2.1,1,No Copy,6427,N/A,0:00:14,0:02:20,0:02:34,2013-10-09 07:05:13,2020-05-16 00:37:39
4,Cody,6684,2565,Hard,5⭐,5,✨ Featured,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:35.18,🕒 Long,Cody,"1,961",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-10 00:46:18,2013-10-10 00:46:18
4000 Blocks to Go,darnoc2,7867,1732,Harder,7⭐,7,✨ Featured,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:20.87,🕒 Long,"Well now i know there is a block limit! Good Luck, my hardest and best level yet.","3,998",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-12 18:25:12,2013-10-12 18:25:12
Smooth Caverns,darnoc2,8485,1732,Harder,6⭐,6,✨ Featured,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:21.02,🕒 Long,Perfect for beginners looking for a semi easy challenge!  updating to make a better ending.,"3,996",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-14 00:33:36,2013-10-14 00:33:36
5,Cody,8612,2565,Harder,7⭐,7,✨ Featured,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:01:22.42,🕒 Long,C,"2,509",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-14 09:19:33,2013-10-14 09:19:33
Chill Out Remake,darnoc2,8828,1732,Harder,6⭐,6,✨ Featured,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:00:54.26,🕒 Long,"A remake of one of my first levels made, Enjoy!","1,731",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-14 22:16:50,2013-10-14 22:16:50
triple s ,ferflappender,9228,505,Normal,3⭐,3,✨ Featured,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:00:40.39,🕒 Medium,simple short smashing ,"1,004",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-15 20:39:32,2013-10-15 20:39:32
demon park,M2coL,10109,475,Easy Demon,10⭐,10,✨ Featured,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:34.98,🕒 Long,Bug fixed!  N plz love Psychic Escape too!,"4,010",N/A,❌ No,❌ No,1.9,2,961031,N/A,N/A,N/A,N/A,N/A,2013-10-17 12:30:21,2014-12-12 20:02:16
Smooth Bouncer,darnoc2,10306,1732,Harder,6⭐,6,✨ Featured,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:01:26.99,🕒 Long,The 3rd level in my Smooth series of levels. the smooth series are easy levels designed for both new,"2,947",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-17 22:28:29,2013-10-17 22:28:29
Level Easy,Cody,11940,2565,Normal,3⭐,3,✨ Featured,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:24.22,🕒 Long,Cody,"1,982",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-19 09:09:47,2013-10-19 09:09:47
To the Grave,darnoc2,12556,1732,Easy Demon,10⭐,10,✨ Featured,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:32.67,🕒 Long,Inspired by Demon Park comes a near impossible level! Also see if you can find the secret area!,"3,866",N/A,❌ No,❌ No,2.1,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-19 19:22:00,2021-06-02 13:33:35
Mind the Gap,TheRealDarnoc,12568,20,Insane,8⭐,8,✨ Featured,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:20.16,🕒 Long,Semi hard level with a very unique ending! Try to find the secret area!,"2,983",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-19 21:19:12,2013-10-19 21:19:12
The Nightmare,Jax,13519,1620,Easy Demon,10⭐,10,✨ Featured,Polargeist,Step,Level 3,,⭐ Classic,,N/A,0:01:28.87,🕒 Long,Hard map by Jax. 7813,"7,940",N/A,❌ No,❌ No,1.7,1,7813,N/A,N/A,N/A,N/A,N/A,2013-10-20 12:01:59,2014-07-26 00:15:11
0,Unknown,13993,10377,Auto,1⭐,1,✔ Normal,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:19.19,🕒 Long,First,"2,831",N/A,❌ No,❌ No,Pre-1.7,0,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-21 08:47:35,2013-10-21 08:47:35
Confusion,YoXdie,15292,1046,Hard,4⭐,4,✨ Featured,Cycles,DJVI,Level 9,,⭐ Classic,,N/A,0:01:21.02,🕒 Long,"auto vs manual, easy","1,723",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-22 22:11:55,2013-10-22 22:11:55
6 Time Machine,Cody,17612,2565,Harder,7⭐,7,✨ Featured,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:34.21,🕒 Long,Cody,"3,232",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-25 10:20:24,2013-10-25 10:20:24
AUTO STEREO MADNESS,Rabbitical,18722,12791,Auto,1⭐,1,✨ Featured,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:27.64,🕒 Long,My first auto level.,"3,996",N/A,❌ No,❌ No,2.2,2,Free Copy,18722,1,0:08:10,N/A,0:08:10,2013-10-26 02:38:16,2024-03-31 22:13:11
Hell jump,dasher,19453,14512,Harder,7⭐,7,✨ Featured,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:01:21.12,🕒 Long,difficulty  hell,"2,018",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-26 09:01:43,2013-10-26 09:01:43
Fortress,Partition,22098,1187,Insane,8⭐,8,✨ Featured,Cycles,DJVI,Level 9,,⭐ Classic,📀📀📀,Unverified,0:01:00.32,🕒 Long,:3 MyMemory,"3,305",N/A,❌ No,❌ No,2.0,1,No Copy,22098,N/A,N/A,N/A,N/A,2013-10-27 13:05:32,2016-05-26 06:44:45
0,Player,22459,16806,Harder,6⭐,6,✨ Featured,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:01:00.76,🕒 Long,0,"2,501",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-28 04:42:29,2013-10-28 04:42:29
Impossible Game 4,IAmCody,22912,20418129,Hard,5⭐,5,✔ Normal,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:31.07,🕒 Long,Cody,"1,242",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-28 11:10:58,2013-10-28 11:10:58
Cant Let Go v2,Rabbitical,23420,12791,Harder,6⭐,6,✨ Featured,Cant Let Go,DJVI,Level 6,,⭐ Classic,,N/A,0:01:19.29,🕒 Long,"Rabb2t is love, Rabb2t is life!","3,875",N/A,❌ No,❌ No,1.9,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-28 23:18:17,2015-06-19 15:41:06
Rapid Switch,darnoc2,23446,1732,Harder,7⭐,7,✨ Featured,Cycles,DJVI,Level 9,,⭐ Classic,,N/A,0:01:20.83,🕒 Medium,"Portals, portals, and more portals! 2 Hidden secrets to find!","3,498",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-29 02:03:40,2013-10-29 02:03:40
auto cycles,FunnyGame,24453,18375,Auto,1⭐,1,✨ Featured,Cycles,DJVI,Level 9,,⭐ Classic,,N/A,0:01:18.81,🕒 Long,Awesome!! XD,"3,957",N/A,❌ No,❌ No,Pre-1.7,9,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-29 17:49:03,2013-10-29 17:49:03
Jumper v2  HAVE FUN,6almas5let,25881,19429,Hard,4⭐,4,✔ Normal,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:01:25.26,🕒 Long,Jumper v2 Edition xD,"1,690",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-30 19:38:26,2013-10-30 19:38:26
Cave Jumper,6almas5let,26414,19429,Normal,3⭐,3,✔ Normal,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:01:07.85,🕒 Long,Cave Jumper.........,"2,293",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-10-31 09:34:16,2013-10-31 09:34:16
op,Player,27450,19888,Harder,6⭐,6,✔ Normal,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:25.55,🕒 Long,,"2,425",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-01 05:16:24,2013-11-01 05:16:24
Space Travel,Rabbitical,28750,12791,Auto,1⭐,1,✨ Featured,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:36.00,🕒 Long,My second auto map!! Thank you for downloding and playing!!,"3,554",N/A,❌ No,❌ No,Pre-1.7,3,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-01 15:11:09,2013-11-01 15:11:09
no jump,Player,28856,21764,Auto,1⭐,1,✔ Normal,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:01:24.97,🕒 Long,satisfied,"2,350",N/A,❌ No,❌ No,Pre-1.7,3,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-01 16:48:08,2013-11-01 16:48:08
Back On Track HARDv,Player,30058,21864,Insane,8⭐,8,✨ Featured,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:02.92,🕒 Long,BACK ON TRACK  HARD V,"3,008",N/A,❌ No,❌ No,Pre-1.7,4,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-02 05:56:11,2013-11-02 05:56:11
auto back on track,FunnyGame,30479,18375,Auto,1⭐,1,✨ Featured,Back On Track,DJVI,Level 2,,⭐ Classic,,N/A,0:01:20.73,🕒 Long,I like this song,"3,776",N/A,❌ No,❌ No,Pre-1.7,11,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-02 08:02:16,2013-11-02 08:02:16
Rainbow,FAZE,30644,14865,Harder,6⭐,6,✨ Featured,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:00:58.59,🕒 Medium,Third map by FAZE,"3,005",N/A,❌ No,❌ No,2.1,14,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-02 08:49:15,2021-06-02 13:33:27
Auto to 4000block,Partition,32118,1187,Auto,1⭐,1,✨ Featured,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:20.73,🕒 Long,re updated to oldest ver / coin removed,"3,914",N/A,❌ No,❌ No,2.1,1,No Copy,32118,N/A,0:01:31,N/A,0:01:31,2013-11-02 19:42:28,2020-05-16 00:25:42
No Deaths Allowed,TheRealDarnoc,32148,20,Harder,7⭐,7,✨ Featured,Polargeist,Step,Level 3,,⭐ Classic,,N/A,0:01:30.46,🕒 Long,I attempted to make an easy level. Boy did I fail. the level aint too hard though!,"2,710",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-02 21:50:53,2013-11-02 21:50:53
party time 1,dhk2725,32543,22445,Harder,7⭐,7,✨ Featured,Polargeist,Step,Level 3,,⭐ Classic,,N/A,0:01:29.21,🕒 Long,1st Level of DHK2725 Hard ver,"3,852",N/A,❌ No,❌ No,Pre-1.7,5,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-03 02:06:08,2013-11-03 02:06:08
w,Spawn,34619,3394658,Harder,7⭐,7,✨ Featured,Cycles,DJVI,Level 9,,⭐ Classic,,N/A,0:00:57.53,🕒 Medium,wz,"1,158",N/A,❌ No,❌ No,Pre-1.7,3,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-03 15:46:13,2013-11-03 15:46:13
Dark Road,MasK463,37295,19181,Auto,1⭐,1,✔ Normal,Cycles,DJVI,Level 9,,⭐ Classic,,N/A,0:00:14.39,🕒 Short,,520,N/A,❌ No,❌ No,2.1,1,No Copy,37295,N/A,0:12:06,N/A,0:12:06,2013-11-05 13:30:20,2018-06-13 16:30:02
Dry Out v2,Rabbitical,38067,12791,Harder,7⭐,7,✨ Featured,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:22.08,🕒 Long,Thank you for downloding and playing!! Small bugs are fixed.,"2,461",N/A,❌ No,❌ No,Pre-1.7,2,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-06 07:18:07,2013-11-06 07:18:07
auto jumper,FunnyGame,38671,18375,Auto,1⭐,1,✨ Featured,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:01:26.61,🕒 Long,,"4,000",N/A,❌ No,❌ No,1.8,1,Free Copy,N/A,N/A,N/A,N/A,N/A,2013-11-06 11:45:19,2014-08-12 11:37:21
cycles v2,Spawn,41071,3394658,Harder,7⭐,7,✔ Normal,Cycles,DJVI,Level 9,,⭐ Classic,,N/A,0:01:19.87,🕒 Long,V 2.3.    changed ending,"3,748",N/A,❌ No,❌ No,Pre-1.7,13,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-07 15:08:38,2013-11-07 15:08:38
Lab Glitch,JohnSnail,41174,31176,Hard,5⭐,5,✨ Featured,Time Machine,Waterflame,Level 8,,⭐ Classic,,N/A,0:01:36.24,🕒 Medium,I made this in 1.0 when I was bad at making levels. Don't play it.,"2,378",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-07 19:47:40,2013-11-07 19:47:40
The Climax,Sohn0924,41254,26299,Insane,8⭐,8,✔ Normal,Base After Base,DJVI,Level 5,,⭐ Classic,,N/A,0:01:23.24,🕒 Long,"Hu Team map, Very difficult And Insane..","2,128",N/A,❌ No,❌ No,2.2,5,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-07 23:43:00,2025-11-20 15:22:09
cycles,Gosu,45407,3530,Harder,7⭐,7,✔ Normal,Cycles,DJVI,Level 9,,⭐ Classic,,N/A,0:01:17.94,🕒 Long,,"2,265",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-09 13:13:23,2013-11-09 13:13:23
Just Another Level,TheRealDarnoc,45827,20,Insane,8⭐,8,✨ Featured,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:19.53,🕒 Long,Well? Its just another level!,"2,503",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-09 15:46:56,2013-11-09 15:46:56
Auto jumping Area,Jax,46355,1620,Auto,1⭐,1,✨ Featured,Jumper,Waterflame,Level 7,,⭐ Classic,,N/A,0:01:25.07,🕒 Long,Come back to Auto Play Ground !,"3,999",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-10 02:05:00,2013-11-10 02:05:00
Because,Spawn,46960,3394658,Insane,9⭐,9,✔ Normal,Dry Out,DJVI,Level 4,,⭐ Classic,,N/A,0:01:20.25,🕒 Long,I dont know why I made it.,"2,279",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-10 05:23:09,2013-11-10 05:23:09
Blue Legend,YunHaSeu14,48006,36314,Hard,4⭐,4,✔ Normal,Stereo Madness,ForeverBound,Level 1,,⭐ Classic,,N/A,0:01:24.20,🕒 Long,Blue Legend,"1,596",N/A,❌ No,❌ No,Pre-1.7,1,No Copy,N/A,N/A,N/A,N/A,N/A,2013-11-10 12:09:02,2013-11-10 12:09:02
